visitor_id;date;no_of_order
/f4j8qx535UCFJNxx13w65G4Oio=;01/11/2019;1
/hYvcu32bHoLWxYT2XvPGvE7nWM=;01/11/2019;1
/w2K8geGTx+wX00VpxJiHeXfeJM=;01/11/2019;1
+2UZCewm6vsWZ51KA18TaQF5mIo=;01/11/2019;1
+Bs058M58ladlHd5UfAw6qiSQwo=;01/11/2019;3
+w7UYrg0qhp6qzwDm9oXoNFMiJ4=;01/11/2019;2
0h0+UjiX4SKdtLcIgKqPvEORmjM=;01/11/2019;1
0J+P0xA1WrMVRQrCa3dJK3gkC/0=;01/11/2019;2
0kFppuLMDJ+m6Bk5htW8wnRe/Tk=;01/11/2019;1
0m/gE7no/8CIQ6IPG7cHGJqHnYo=;01/11/2019;1
0TQPlFMu49tvgKpRk8+gMpYT13g=;01/11/2019;1
0YzyoVcQ/eSnW8ECvtFikcaxKBY=;01/11/2019;2
0zvYm7DFSLJEZ4FiIcJGpw/f/5A=;01/11/2019;2
14q2r0r4Bcan7gi16pdLq4fekXY=;01/11/2019;1
16e7R+vOP4OqBc/ocuF55Nm9Ivw=;01/11/2019;1
1IK7OPq1DetHX6XoUDXaIU0jXCY=;01/11/2019;1
1JiglXaT75tM0UhfkZXyd409xIk=;01/11/2019;1
1mGTscazGSrzUEI5V9Mp7WMt5fY=;01/11/2019;1
1wSmN4m4/4pYt/SmAFM3JelvIsk=;01/11/2019;1
2+FRiipm3IORREiloMNYobuucDU=;01/11/2019;1
24hW3cbzWGsVzqBVl5dNQ+iuf/Q=;01/11/2019;1
262uP5ixn2svd0vnlmZ8Asg0ckk=;01/11/2019;1
2axOdoSymtYJIaNBypVRJjVjFQI=;01/11/2019;2
2IJr/rr3lCOAvD6i76VTnivyawI=;01/11/2019;2
2tbX3lzWahur5nejo5YjLItFm5M=;01/11/2019;1
371LlLy5AtV+GBB16PDPlsNW46A=;01/11/2019;1
3dNzfATJLyfZPs2r0gC3XnAmUs0=;01/11/2019;1
3QCtbQvB+IUQxok6k4yo2F7Wa7M=;01/11/2019;2
3R/z+r0Os2IyXt0aQnoNxBvulZ0=;01/11/2019;1
3WcJQd5yFmZjEdeA8w8rJonxRL0=;01/11/2019;1
485jxAhMbfQ49N4ebiv7QFg8iY0=;01/11/2019;1
4BM0Tk4AimXOW3L8CrBQGXYMvks=;01/11/2019;1
4hXT3iiR6WBH4D3fe+C1Q2X8AWE=;01/11/2019;2
4JVd+UuCAR7fqFD29UVnZ7sdqHk=;01/11/2019;1
4lYJ8vjiW82yeQJN+r9KpBPs4Fw=;01/11/2019;1
4n3Z3JxBU8kJOVoG+zUr/cfpmSQ=;01/11/2019;2
4pAHKQcduIK3VJ5M1kXUup3BrCM=;01/11/2019;1
